Název;Čtvrť;Město;Charakter;Hodnocení
Maledivy club,Carpaccio bar;Centrum;Brno;restaurace;
Mamut Pub;Střed;Brno;pivnice;
Mariani;Židenice;Brno;pizzerie;0
MARIANI Ristorante Pizzeria;Juliánov;Brno;restaurace;
Marilyn Cafe;Střed města;Brno;kavárna;
MARINA restaurace - pizzerie;Kníníčky;Brno;restaurace;
MAXIM restaurant;Brno;Brno;restaurace;0
Mazaný anděl;Centrum;Brno;pivnice;
Merci restaurant;Brno;Brno;restaurace;
Merlin cafe;Židenice;Brno;restaurace;0
Metro Music Restaurant;Centrum;Brno;restaurace;
MFG bistro;Centrum;Brno;bistro;0
MIDWAY;Střed;Brno;restaurace;
Mike´s restaurant;Štýřice;Brno;restaurace;
MIKI RESTAURANT;Žabovřesky;Brno;restaurace;
Mikrofarma bistro;Střed;Brno;bistro;
Mimóza club;Brno;Brno;restaurace;0
Miniaturgolf - Sojka Petr;Lesná;Brno;bistro;
MINOR;Brno;Brno;kavárna;
Mitrovski;Staré Brno;Brno;restaurace;
Modra Ruze;Střed;Brno;restaurace;
MOMO Bar;Střed;Brno;restaurace;
Monâme - zámecká restaurace;Medlánky;Brno;restaurace;
Monte Bú Restaurant a steakhouse;Centrum;Brno;restaurace;
Montenegro Pub (U Prokopů);Veveří;Brno;restaurace;
Moravská chalupa - Pivnice s kuželnou;Pisárky;Brno;pivnice;
Moravská chalupa - Restaurant St. Urban;Pisárky;Brno;vinárna;
Motel Poddubí;Ondřejov;Ondřejov;restaurace;
Motorest60 Na Rozhraní;Rozhraní;Rozhraní;restaurace;0
MY FOOD Holandská;Brno;Brno;bistro;
MY FOOD Zelný trh;Centrum;Brno;bistro;
Na gruntě;Lesná;Brno;restaurace;
Na Chatě;Černá pole;Brno;restaurace;
Na Knoflíku;Centrum;Brno;pivnice;
Na Maničkách;Žabovřesky;Brno;pivnice;
Na městečku;Veverská Bytýška;Veverská Bytýška;restaurace;
Na Purkyňce;Královo Pole;Brno;restaurace;
Na Růžku;Královo Pole;Brno;restaurace;0
Na Špici;Řečkovice;Brno;restaurace;
Na Švábce;Centrum;Brno;pivnice;
Na-tahu;Centrum;Brno;restaurace;0
Nefertiti;Střed;Brno;čajovna;
Nepal;Královo Pole;Brno;restaurace;
"New York ""Oesterreicherloch""";Střed;Brno;restaurace;
Ngoc Tháng Quán - vietnamské bistro;Slatina;Brno;bistro;
Noem Arch Restaurant;Královo Pole;Brno;restaurace;
NordSee;Střed;Brno;bufet;
Občerstvení Střela;Královo Pole;Brno;bistro;
Ochutnávková Pivnice;Centrum;Brno;restaurace;
Oldies Deja*vu;Střed;Brno;restaurace;
Olymp;Černá pole;Brno;restaurace;
ONYX;Centrum;Brno;restaurace;0
Orel - jednota Telnice;Tuřany;Brno;restaurace;
OTTOMAN TRUMPET;Střed;Brno;restaurace;0
P;Centrum;Brno;bar;
Padowetz;Střed;Brno;restaurace;
PadThai Restaurant;Královo Pole;Brno;restaurace;
PALADEO RESTAURANTE;Královo Pole;Brno;restaurace;
Panoptikum Beer Restaurant;Centrum;Brno;restaurace;
Panská lícha;Lesná;Brno;restaurace;
Park Lane Cafe;Černá pole;Brno;kavárna;
Parkhotel;Pisárky;Brno;restaurace;
PARNAS Caffe;Centrum;Brno;kavárna;
Pavillon Restaurant;Centrum;Brno;restaurace;
Pegas;Střed;Brno;pivnice;
PEGAS Jiráskova;Střed;Brno;pivnice;
Pellegrini;Střed;Brno;kavárna;
Pellini;Střed;Brno;kavárna;
Penzion Anitka;Ivanovice;Brno;restaurace;
Penzion Marie;Bystrc;Brno;restaurace;0
Petit Belveder;Centrum;Brno;restaurace;0
Pivní bar Marley;Žabovřesky;Brno;restaurace;0
Pivní bar U Suka;Královo Pole;Brno;pivnice;
Pivní burza;Střed;Brno;pivnice;
Pivní dveře;Veveří;Brno;pivnice;
Pivní Opice;Střed;Brno;restaurace;
Pivní restaurant Sladovna;Střed;Brno;pivnice;
PIVNICE NA JUNGMANCE;Královo Pole;Brno;pivnice;0
Pivnice U Čápa;Centrum;Brno;pivnice;
Pivnice U SAMA;Bystrc;Brno;pivnice;0
Pivovarská Restaurace Starobrno;Střed;Brno;restaurace;
Pizza bar Těsně vedle Brno;Brno;Brno;pizzerie;0
Pizza Coloseum;Střed;Brno;restaurace;
Pizza GRAND PRIX rozvoz;Staré Brno;Brno;restaurace;0
Pizza Hamm;Brno;Brno;pizzerie;0
Pizza Kanas;Kuřim;Kuřim;pizzerie;
Pizza Toscana;Černá pole;Brno;pizzerie;
Pizza u Honzy;Zábrdovice;Brno;bistro;0
PIZZA ZAKKI;Střed;Brno;pizzerie;
Pizzaland;Maloměřice;Brno;restaurace;
Pizzan Restaurant;Střed;Brno;pizzerie;
Pizzeria - Ristorante Gazebo;Černá pole;Brno;restaurace;
Pizzeria Amigo;Komín;Brno;pizzerie;0
Pizzeria Árčí;Nový Lískovec;Brno;pizzerie;
Pizzeria Borgia;Královo Pole;Brno;pizzerie;
Pizzeria Da Buffi;Komín;Brno;pizzerie;
Pizzeria Di Gusto;Líšeň;Brno;pizzerie;
Pizzeria Kogo;Dolní Heršpice;Brno;pizzerie;
Pizzeria La Gamba;Lesná;Brno;pizzerie;
Pizzeria La Rossa;Brno;Brno;pizzerie;
Pizzeria Molino Ristorante;Královo Pole;Brno;pizzerie;
Pizzeria Primavera;Řečkovice;Brno;pizzerie;
pizzeria ristorante AL CAPONE;Královo Pole;Brno;pizzerie;
Pizzerie Brevi Manu;Černá pole;Brno;restaurace;
Pizzerie Issima;Královo Pole;Brno;bufet;
Pizzerie LaPeda;Brno;Brno;pizzerie;
Pizzerie Mediterrane;Střed;Brno;pizzerie;
Pizzerie Morava;Brno;Brno;pizzerie;0
Pizzerie Paradiso;Střed;Brno;restaurace;
Pizzerie Peperone;Náměšť nad Oslavou;Náměšť nad Oslavou;pizzerie;
Pizzerie selská;Maloměřice;Brno;pizzerie;0
Pizzerie Sukulent;Střed;Brno;pizzerie;
Pizzerie Tyrkys;Žabovřesky;Brno;pizzerie;
Pizzerie Va Bene;Žabovřesky;Brno;pizzerie;
pizzerie VIVA;Žabovřesky;Brno;pizzerie;0
Plameňák;Střed;Brno;restaurace;
Plzeňská pivnice na radnici;Líšeň;Brno;restaurace;0
Pod ořechy;Židenice;Brno;pivnice;
Pod Radničním Kolem;Střed;Brno;vinárna;
Pod Špilberkem;Centrum;Brno;restaurace;
Pohádková hospůdka;Královo Pole;Brno;restaurace;
Pohostinství na Jílkové;Židenice;Brno;restaurace;
point;Černá pole;Brno;bar;
POINT restaurant;Husovice;Brno;restaurace;
Pojd na kafe;Centrum;Brno;kavárna;
Polévkárna pod schody;Černá pole;Brno;bistro;0
PONTOS;Brno;Brno;restaurace;
Porta da Terra;Modřice;Modřice;restaurace;
Potrefená husa;Střed;Brno;restaurace;
Potrefená Husa;Střed;Brno;restaurace;
Potrefená husa;Líšeň;Brno;restaurace;0
Potrefená husa;Líšeň;Brno;restaurace;
Prígl Pub;Bystrc;Brno;restaurace;
Probe centrum;Vinohrady;Brno;restaurace;
Prominent;Staré Brno;Brno;restaurace;
Přehradní krčma;Bystrc;Brno;restaurace;0
Pub Loď Veveří;Bystrc;Brno;restaurace;0
PUXpub;Střed;Brno;restaurace;
Quán Viet;Centrum;Brno;restaurace;
QUANVIET;Centrum;Brno;restaurace;0
Ratejna Music Restaurant;Střed města;Brno;restaurace;0
Rebio;Střed;Brno;restaurace;
Reduta Café Restaurant;Centrum;Brno;restaurace;
Redwall Café;Židenice;Brno;kavárna;
Remix;Střed;Brno;bar;
Rendez - vous;Střed;Brno;kavárna;
restaurace;Střed;Brno;restaurace;0
Restaurace Dukát;Lesná;Brno;restaurace;
Restaurace a hotel U kašny;Rajhrad;Rajhrad;restaurace;
Restaurace a penzion Gallus;Vranov u Brna;Vranov;restaurace;
Restaurace a penzion U kocoura;Maloměřice;Brno;restaurace;0
Restaurace a pivnice U Zlaté Konve;Veveří;Brno;pivnice;0
Restaurace Áčko;Střed;Brno;restaurace;
Restaurace Atrium OREA Hotelu Voroněž;Pisárky;Brno;restaurace;
Restaurace Belcredi;Líšeň;Brno;restaurace;
Restaurace Betlém;Černá pole;Brno;restaurace;
Restaurace Borgeska;Královo Pole;Brno;restaurace;
Restaurace Brno- chrlice;Chrlice;Brno;restaurace;
Restaurace Corner;Černá pole;Brno;restaurace;0
Restaurace Dělnický Dům;Židenice;Brno;restaurace;
Restaurace Divá Bára;Střed;Brno;restaurace;
Restaurace DTJ Garda;Starý Lískovec;Brno;restaurace;
Restaurace Farma - Obřany;Brno;Brno;restaurace;
Restaurace Flora;Střed;Brno;restaurace;
Restaurace Formanka;Lipůvka;Lipůvka;restaurace;
Restaurace Formanka;Střed;Brno;restaurace;
Restaurace HNÍZDO;Slatina;Brno;restaurace;0
Restaurace Hvězda;Bystrc;Brno;restaurace;0
Restaurace Jasmín;Líšeň;Brno;restaurace;0
Restaurace Kaverna;Střed;Brno;restaurace;
Restaurace Kavkaz;Bohunice;Brno;pivnice;
Restaurace LEGUANA;Bohunice;Brno;restaurace;0
Restaurace Líšeňský pivovar;Líšeň;Brno;pivnice;
Restaurace Lloyd´s;Královo Pole;Brno;restaurace;
Restaurace Mikulášek;Husovice;Brno;restaurace;
Restaurace Na Devadesátce;Královo Pole;Brno;restaurace;0
Restaurace Na Dolnici;Řečkovice;Brno;restaurace;
Restaurace Na Statku;Božtěšice;Ústí nad Labem;restaurace;
Restaurace Na Vyhlídce aneb u Černé báby;Lesná;Brno;restaurace;
Restaurace Nautilus;Hodonín;Hodonín;restaurace;
Restaurace Okruh;Nový Lískovec;Brno;restaurace;
Restaurace Palazzo;Centrum;Brno;restaurace;
Restaurace Pastouška;Židenice;Brno;restaurace;0
Restaurace PEKANDA;Střed;Brno;restaurace;
Restaurace Plameňák;Bystrc;Brno;restaurace;0
Restaurace Plzeňka;Centrum;Brno;restaurace;
Restaurace Plzeňský dvůr;Královo Pole;Brno;restaurace;
Restaurace Pohoda;Veveří;Brno;restaurace;
Restaurace Portum;Kníníčky;Brno;restaurace;
Restaurace Přístav U Vodů;Bystrc;Brno;restaurace;
Restaurace Racek;Královo Pole;Brno;restaurace;
Restaurace Rozsocháč;Rosice;Rosice;restaurace;
Restaurace Rustical;Štýřice;Brno;restaurace;
Restaurace Sklípek;Střed;Brno;restaurace;0
Restaurace Stará Pošta;Kovalovice;Kovalovice;restaurace;
Restaurace Špalíček;Střed města;Brno;restaurace;
Restaurace Tanganika;Žabovřesky;Brno;restaurace;0
Restaurace Tatra;Královo Pole;Brno;pivnice;0
Restaurace Terasa;Komárov;Brno;restaurace;
Restaurace Tišnovská Rychta;Tišnov;Tišnov;restaurace;
Restaurace Tropicana;Černá pole;Brno;restaurace;
Restaurace Tukan;Řečkovice;Brno;restaurace;
Restaurace U Honzáků;Chrlice;Brno;restaurace;
Restaurace U Klímů;Vranov u Brna;Vranov;restaurace;
Restaurace U raka;Líšeň;Brno;restaurace;0
Restaurace Union;Štýřice;Brno;restaurace;
Restaurace v lužáneckém parku, areálu tenisového klubu TC MJ-BLTC BRNO;Černá pole;Brno;restaurace;
Restaurace Velorex;Královo Pole;Brno;restaurace;
Restaurace Veselá 2;Centrum;Brno;restaurace;
Restaurace Wellington Cafe;Řečkovice;Brno;restaurace;
Restaurace Za kapličkou;Žabovřesky;Brno;restaurace;
Restaurace/Pizzerie LORIA;Tišnov;Tišnov;pizzerie;0
Restaurant A LA CARTE - OREA Hotel Voroněž;Pisárky;Brno;restaurace;
Restaurant Anena;Střed;Brno;restaurace;0
Restaurant Bueno Farma;Černá pole;Brno;restaurace;
